country_name_ru,country_name_en,m49_code,ISO_code
Острова Теркс и Кайкос,Turks and Caicos Islands,796,TCA
Острова Уоллис и Футуна,Wallis and Futuna Islands,876,WLF
Пакистан,Pakistan,586,PAK
Палау,Palau,585,PLW
Панама,Panama,591,PAN
Папуа-Новая Гвинея,Papua New Guinea,598,PNG
Парагвай,Paraguay,600,PRY
Перу,Peru,604,PER
Питкэрн,Pitcairn,612,PCN
Польша,Poland,616,POL
Португалия,Portugal,620,PRT
Пуэрто-Рико,Puerto Rico,630,PRI
Республика Корея,Republic of Korea,410,KOR
Республика Молдова,Republic of Moldova,498,MDA
Реюньон,Réunion,638,REU
Российская Федерация,Russian Federation,643,RUS
Руанда,Rwanda,646,RWA
Румыния,Romania,642,ROU
Сальвадор,El Salvador,222,SLV
Самоа,Samoa,882,WSM
Сан-Марино,San Marino,674,SMR
Сан-Томе и Принсипи,Sao Tome and Principe,678,STP
Саудовская Аравия,Saudi Arabia,682,SAU
Святой Престол,Holy See,336,VAT
Северная Македония,North Macedonia,807,MKD
Северные Марианские острова,Northern Mariana Islands,580,MNP
Сейшельские Острова,Seychelles,690,SYC
Сен-Бартелеми,Saint Barthélemy,652,BLM
Сенегал,Senegal,686,SEN
Сен-Мартен (французская часть),Saint Martin (French Part),663,MAF
Сен-Пьер и Микелон,Saint Pierre and Miquelon,666,SPM
Сент-Винсент и Гренадины,Saint Vincent and the Grenadines,670,VCT
Сент-Китс и Невис,Saint Kitts and Nevis,659,KNA
Сент-Люсия,Saint Lucia,662,LCA
Сербия,Serbia,688,SRB
Сингапур,Singapore,702,SGP
Синт-Мартен (нидерландская часть),Sint Maarten (Dutch part),534,SXM
Сирийская Арабская Республика,Syrian Arab Republic,760,SYR
Словакия,Slovakia,703,SVK
Словения,Slovenia,705,SVN
Соединенное Королевство Великобритании и Северной Ирландии,United Kingdom of Great Britain and Northern Ireland,826,GBR
Соединенные Штаты Америки,United States of America,840,USA
Соломоновы Острова,Solomon Islands,90,SLB
Сомали,Somalia,706,SOM
Судан,Sudan,729,SDN
Суринам,Suriname,740,SUR
